"","target_child_id","stem","tokens"
"164",2187,"check",1
"165",2187,"drop",1
"166",2187,"hang",1
"167",2187,"pull",7
"168",2187,"push",4
"169",2187,"tie",4
"170",2202,"bite",11
"171",2202,"bump",2
"172",2202,"buy",11
"173",2202,"check",9
"174",2202,"drop",1
"175",2202,"hang",2
"176",2202,"hold",2
"177",2202,"kick",8
"178",2202,"lick",1
"179",2202,"pull",4
"180",2202,"punch",2
"181",2202,"push",6
"182",2202,"sell",1
"183",2202,"stick",9
"184",2202,"tie",4
"185",2220,"bite",1
"186",2220,"buy",2
"187",2220,"drop",2
"188",2220,"hold",6
"189",2220,"kick",5
"190",2220,"pull",5
"191",2220,"punch",4
"192",2220,"push",4
"193",2220,"stick",1
"194",2234,"bump",1
"195",2234,"buy",4
"196",2234,"cover",1
"197",2234,"drop",1
"198",2234,"hold",8
"199",2234,"kick",1
"200",2234,"pull",4
"201",2234,"punch",2
"202",2234,"push",2
"203",2234,"stick",1
"204",2234,"tickle",1
"205",2234,"tie",3
"206",2249,"drop",1
"207",2249,"hang",1
"208",2249,"hold",8
"209",2249,"pull",2
"210",2249,"punch",1
"211",2249,"stick",1
"212",2249,"tie",1
"213",2264,"buy",1
"214",2264,"hold",6
"215",2264,"lick",2
"216",2264,"pull",1
"217",2264,"push",1
"218",2264,"stick",1
"219",2264,"teach",3
"220",2264,"tie",1
"221",2279,"bump",3
"222",2279,"buy",4
"223",2279,"check",1
"224",2279,"hold",2
"225",2279,"pull",8
"226",2279,"push",9
"227",2279,"sell",1
"228",2279,"tap",2
"229",2291,"bite",4
"230",2291,"bump",1
"231",2291,"buy",11
"232",2291,"check",4
"233",2291,"choose",2
"234",2291,"cover",4
"235",2291,"hang",3
"236",2291,"hold",10
"237",2291,"knot",1
"238",2291,"lick",1
"239",2291,"pull",4
"240",2291,"push",4
"241",2291,"stick",1
"242",2291,"tickle",3
"243",2291,"tie",1
"244",2302,"bite",2
"245",2302,"buy",4
"246",2302,"choose",1
"247",2302,"hold",4
"248",2302,"pet",2
"249",2302,"pull",2
"250",2302,"push",2
"251",2302,"stick",3
"252",2302,"teach",3
"253",2302,"tie",1
"254",2315,"buy",2
"255",2315,"drop",4
"256",2315,"hold",8
"257",2315,"lick",2
"258",2315,"pet",1
"259",2315,"pull",2
"260",2315,"push",4
"261",2315,"stick",5
"262",2315,"tickle",12
"263",2315,"tie",1
"264",2316,"bite",6
"265",2316,"buy",10
"266",2316,"choose",3
"267",2316,"cover",1
